key,translation
"faq.items.renderingProcess.question","Hvordan fungerer 3D-renderingsprocessen?"
"faq.items.renderingProcess.answer","3D-renderingsprocessen involverer flere vigtige trin. Indledningsvis starter vi med at forstå dit produkt og dine mål gennem et møde på stedet eller et virtuelt videoopkald. Når dit projekts mål er klart defineret, skaber vi en detaljeret 3D-model af objektet eller scenen. Derefter anvender vi teksturer, materialer og realistiske detaljer på modellen. Vi tilføjer derefter omhyggeligt konfigureret belysning for at generere realistiske skygger og refleksioner. Endelig udfører vi renderingsfasen og transformerer din 3D-model til et fotorealistisk 2D-billede eller animation. Hvis du har feedback, forfiner vi visualiseringerne, indtil du er helt tilfreds."
"faq.items.cgiFurniture.question","Hvad er CGI-møbler?"
"faq.items.cgiFurniture.answer","CGI står for ""Computer Generated Imagery"" (Computergenererede billeder). CGI-møbler refererer til møbelmodeller, der er skabt helt digitalt på en computer. Disse virtuelle møbler kan vises i digitale miljøer og bruges effektivt i visuel markedsføring af møbel-, boligindretnings- og livsstilsbrands."
"faq.items.3dVisualization.question","Hvad er præcis 3D-visualisering?"
"faq.items.3dVisualization.answer","3D-visualisering er en digital repræsentation af fysiske objekter eller scener vist i tredimensionel form som billeder eller animationer. Hos Debutiques specialiserer vores dedikerede 3D-visualiseringsteam sig i at producere high-end visuelt indhold specifikt skræddersyet til møbel-, bolig- og livsstilsindustrierne."
"faq.items.turnaroundTime.question","Hvor lang tid tager det at producere en 3D-rendering hos Debutiques?"
"faq.items.turnaroundTime.answer","Gennemførelsestiden for 3D-renderinger afhænger meget af flere faktorer, herunder modellens kompleksitet, ønsket visuel kvalitet og projektomfang. En ligetil 3D-visualisering kan typisk fuldføres inden for få timer, mens mere komplekse animationer kan tage flere dage eller endda uger."
"faq.items.businessBenefits.question","Hvordan kan produktvisualisering gavne min virksomhed?"
"faq.items.businessBenefits.answer","Produktvisualisering giver dig mulighed for at vise dine produkter på måder, der er svære eller umulige med traditionel fotografering. Det muliggør detaljerede visninger fra alle mulige vinkler, eksperimentering med belysningsopsætninger og test af forskellige farver og teksturer. Desuden kan 3D-visualisering tydeligt illustrere et produkts funktionalitet, demonstrere komplicerede koncepter og betydeligt reducere udgifterne ved præsentation af flere produktvariationer."
"faq.items.visualizationTypes.question","Hvilke typer 3D-visualiseringer tilbyder Debutiques?"
"faq.items.visualizationTypes.answer","Debutiques tilbyder et omfattende udvalg af 3D-visualiseringstjenester, herunder:

• Selvstændige produktrenderinger (med eller uden baggrund)
• Indendørs og udendørs miljøvisualiseringer
• Kontekstuelle produktpræsentationer inden for digitalt skabte indstillinger
• 3D-animationer og videorenderinger
• Augmented Reality (AR) visualiseringer, der gør det muligt at vise virtuelle produkter problemfrit i virkelige miljøer

Leder du efter inspiration? Du er velkommen til at udforske vores fremhævede CGI-projekter for at se, hvad der er muligt!"
"faq.items.pricing.question","Hvor meget koster en CGI-visualisering typisk?"
"faq.items.pricing.answer","Prissætningen for 3D-visualiseringstjenester varierer baseret på kompleksitet og type af leverance. Simple statiske visualiseringer kan starte fra nogle få hundrede dollars, mens omfattende animationer og AR-visualiseringer kan koste flere tusinde dollars. For at få et nøjagtigt og personligt tilbud, bedes du kontakte direkte—konsultationer og tilbud er altid gratis og kommer uden forpligtelser."
"faq.items.cgiStudio.question","Hvad er præcis et CGI-studie?"
"faq.items.cgiStudio.answer","Et CGI- eller 3D-studie er et specialiseret bureau fokuseret på at skabe digitale visualiseringer og animationer for virksomheder. Disse studier tilbyder fleksibilitet sammenlignet med at ansætte interne 3D-kunstnere, da du kan bestille specifikke projekter, når det er nødvendigt, uden overhead og langsigtede forpligtelser fra fuldtidsansatte."
"faq.items.gettingStarted.question","Hvordan kan jeg komme i gang med at skabe en 3D-rendering til mit projekt?"
"faq.items.gettingStarted.answer","Hvis du er interesseret i at skabe en 3D-rendering, skal du blot kontakte Debutiques. Vi diskuterer dine specifikke behov, forklarer hvilke typer visualiseringer, der bedst vil vise dit produkt, og giver dig et klart, ikke-bindende tilbud. Indledende konsultationer er helt gratis, hvilket giver dig mulighed for at forstå vores tilgang og sikre, at vi er det rigtige match for dit projekt."
"schedule.title","Book et opkald"
"schedule.description","Book en gratis konsultation for at diskutere dine projektkrav og udforske, hvordan vi kan hjælpe med at bringe din vision til live."
"contact.title","Lad os skabe sammen"
"contact.description","Klar til at transformere, hvordan dine kunder oplever dine møbler?"
"contact.form.name","Navn"
"contact.form.company","Virksomhed"
"contact.form.email","E-mail"
"contact.form.message","Fortæl os om dit projekt"
"contact.form.submit","Anmod om forslag"
"contact.form.confidential","100% fortroligt. Vi svarer inden for 24 timer."
"footer.description","Fotorealistisk 3D-møbelvisualisering for fremadtænkende brands."
"footer.navigation","Navigation"
"footer.contact","Kontakt"
"footer.connect","Forbind"
"footer.email","info@debutiques.com"
"footer.locations","Beograd • Frankfurt"
"footer.copyright","© {{year}} Debutiques. Alle rettigheder forbeholdes."
"toast.messageSent","Besked sendt!"
"toast.messageResponse","Vi vender tilbage inden for 24 timer."
"toast.error","Fejl"
"toast.messageFailed","Kunne ikke sende besked. Prøv igen."
"toast.configError","Konfigurationsfejl"
"toast.emailServiceError","E-mail-tjenesten er ikke korrekt konfigureret. Kontakt administratoren."
